full_id,name,shop,lon,lat
n1932786929,サブウェイ Ginza,convenience,139.7649,35.67286
n1933156750,スリーエフ,convenience,139.7896,35.6827
n1931656977,ファミリーマート,convenience,139.7940,35.7077
n1931657501,ローソン,convenience,139.7940,35.7086
n1951179291,青山フラワーマーケット,florist,139.7437,35.701
n1951596840,青山フラワーマーケット (Aoyama Flower Market),florist,139.7365,35.6727
n1951162249,青山フラワーマーケット,florist,139.7723,35.6983
n1951173116,青山フラワーマーケット,florist,139.7530,35.707
n1942565758,ファミリーマート,convenience,139.7731,35.7096
n1951144437,青山フラワーマーケット (Aoyama Flower Market),florist,139.8134,35.69715
n1941149172,セブン-イレブン,convenience,139.7940,35.65941
n1941199252,ファミリーマート,convenience,139.7388,35.6843
n1959228952,日米商事 スーパージャンク,electronics_parts_shop,139.7703,35.69819
n1959228989,パナソニック LUMIX & Let’snote修理工房,Electronics_maintenance_shop,139.7697,35.6993
n1957947634,natural Lawson 新橋六丁目店,convenience,139.7544,35.6612
n1957949636,family mart 芝公園一丁目店,convenience,139.7523,35.6592
n1956080465,ドコモショップ,mobile_phone,139.7549,35.65698
n1957777128,セブン-イレブン,convenience,139.7614,35.7002
n1952141255,ローソン,convenience,139.7674,35.68472
n1952228598,青山フラワーマーケット,florist,139.7637,35.6744
n1973699775,anan,hairdresser,139.7446,35.6468
n1986281361,書泉ブックタワー,books,139.7751,35.6973
n1969374618,セブン-イレブン,convenience,139.7501,35.7009
n1971695709,ファミリーマート,convenience,139.7462,35.6488
n1963851767,DEMMERS TEEHOUS,beverages,139.7278,35.6634
n1963985694,古遊楽,antiques,139.7241,35.6619
n1961662345,ミナトライトクラノ,electronics,139.7464,35.6496
n1961662352,理容 アカガワ,hairdresser,139.7464,35.6492
n2003935475,セブン-イレブン,convenience,139.8122,35.7094
n2003938471,セブン-イレブン,convenience,139.8068,35.7086
n1996601779,NEW DAYS,convenience,139.7748,35.6983
n2003874560,セブン-イレブン,convenience,139.8167,35.71084
n1992017358,近畿日本ツーリスト,travel_agency,139.7642,35.6751
n1996594184,アニメイト,hobby,139.7718,35.7004
n1986281362,セブン-イレブン,convenience,139.7739,35.6992
n1992017300,三省堂書店,books,139.7640,35.6748
n2006587821,丸井,department_store,139.8137,35.695
n2008400560,ローソン,convenience,139.8053,35.7088
n2003950956,ソフトバンクショップ,mobile_phone,139.7946,35.6945
n2004809612,ミニストップ,convenience,139.8045,35.7083
n2003946456,ソフトバンクショップ,mobile_phone,139.8138,35.7072
n2003947721,ソフトバンクショップ,mobile_phone,139.8121,35.69750
n2003942535,ドコモショップ,mobile_phone,139.8120,35.6975
n2003944883,ドコモショップ,mobile_phone,139.8139,35.695
n2008644054,ローソンストア100,convenience,139.7975,35.7004
n2008762174,auショップ,mobile_phone,139.8023,35.7086
n2008598038,ローソン,convenience,139.8099,35.6977
n2008619167,ローソン,convenience,139.8051,35.7008
n2008523770,ローソンストア100,convenience,139.8072,35.7041
n2008582060,ローソン,convenience,139.8135,35.6985
n2008429959,ローソンストア100,convenience,139.8143,35.707
n2008505504,ローソンストア100,convenience,139.8141,35.701
n2014577463,セブン-イレブン,convenience,139.7806,35.6885
n2017887369,石黒サイクル,bicycle,139.7459,35.6489
n2012214876,セブン-イレブン,convenience,139.7830,35.694
n2013655860,セブン-イレブン,convenience,139.7693,35.7027
